hotel_id,hotel_name,hotel_stars,address,cat_location,cat_cleaniness,cat_staff,cat_comfort,cat_value_for_money,cat_facilities,room_types,image_links
hilton-singapore-orchard,Hilton Singapore Orchard,5,"333 Orchard Road, Orchard, 238867 Singapore, Singapore",9.5,8.9,8.7,8.9,7.8,8.4,"{'Premium King Room with City View': ['S$\xa0658', 'S$\xa0729', 'S$\xa0747', 'S$\xa0818', 'S$\xa0870', 'S$\xa0705', 'S$\xa0773', 'S$\xa0799'], 'Premium Twin Room with City View': ['S$\xa0658', 'S$\xa0729', 'S$\xa0747', 'S$\xa0818', 'S$\xa0870', 'S$\xa0705', 'S$\xa0773', 'S$\xa0799'], 'Executive King Room': ['S$\xa0771', 'S$\xa0858', 'S$\xa0859', 'S$\xa0947', 'S$\xa0999', 'S$\xa0818', 'S$\xa0903', 'S$\xa0929'], 'Executive Twin Room': ['S$\xa0771', 'S$\xa0858', 'S$\xa0859', 'S$\xa0947', 'S$\xa0999', 'S$\xa0818', 'S$\xa0903', 'S$\xa0929'], 'King Corner Suite': ['S$\xa0964', 'S$\xa0996', 'S$\xa01,053', 'S$\xa01,070', 'S$\xa01,105', 'S$\xa01,133', 'S$\xa01,159', 'S$\xa01,211', 'S$\xa01,239', 'S$\xa01,317', 'S$\xa01,011', 'S$\xa01,115', 'S$\xa01,141'], 'One-Bedroom King Suite': ['S$\xa01,070', 'S$\xa01,102', 'S$\xa01,159', 'S$\xa01,188', 'S$\xa01,223', 'S$\xa01,239', 'S$\xa01,277', 'S$\xa01,329', 'S$\xa01,357', 'S$\xa01,435', 'S$\xa01,117', 'S$\xa01,232', 'S$\xa01,258'], 'Premium King Suite': ['S$\xa01,176', 'S$\xa01,208', 'S$\xa01,265', 'S$\xa01,305', 'S$\xa01,341', 'S$\xa01,345', 'S$\xa01,395', 'S$\xa01,447', 'S$\xa01,475', 'S$\xa01,552', 'S$\xa01,223', 'S$\xa01,350', 'S$\xa01,376'], 'Executive King Suite': ['S$\xa01,494', 'S$\xa01,525', 'S$\xa01,583', 'S$\xa01,658', 'S$\xa01,663', 'S$\xa01,694', 'S$\xa01,748', 'S$\xa01,800', 'S$\xa01,828', 'S$\xa01,906', 'S$\xa01,541', 'S$\xa01,703', 'S$\xa01,729']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/341242792.jpg?k=ba06dd9001b9910721d771368106a75c68ced2bdcd02bb4e39453e99865279a3&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/341247501.jpg?k=06e3e2225127ff871b13eeaab78e2c396965dd1a9cfb6ddd508ad514a77edd21&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/367018651.jpg?k=01a2d2bda2311082e39d4426cd9feac60ed5c395c15c83d7780adc33ea7cb9af&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/365382916.jpg?k=ea29500c77a34b044b71791b557c2ed9d157b268c2b93da5304ec3246d68c224&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/379063993.jpg?k=b616acc2239c20d06aed903bcc2222b2d1b27a119da0904b09bd690da17d3134&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/341247502.jpg?k=4434e835e6e3b2cbe91ef3091afd443d57dc02754378e546832b624fe6ada480&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/375822068.jpg?k=e9c2ac3f3b0b4e42da1d21f1f7d3c8eeee8c694b1162db87b14edd1be8e7de1c&o=&hp=1']"
81-geylang,Hotel 81 Geylang,2,"20 Lorong 16 Geylang, 398863 Singapore, Singapore",6.1,7.2,6.3,6.4,7.0,6.5,"{'Standard Double Room': ['S$\xa070'], 'Standard Twin Room': ['S$\xa070']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/19165329.jpg?k=c014743c2a4aa528d7547af81e8babd060e1f11e9bad84762fed35a984f06a91&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/19165340.jpg?k=2644e51c50ebce35514b245076d77e79cc92aee12e9425ca62c118a9babd60d4&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/19165368.jpg?k=628ac0294f51b76fa9de620d81007e749235e0a0405a523496ce39f19f2e5740&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/19165343.jpg?k=ed7cd8b427ed2bf1631afcda97bc67ce4ccd770b5fb099770bf7c17dd19547c5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/318297713.jpg?k=b01ab48ed79d2cc38c2f4ed0511b802cbc309e03dd0d268838f12cd1df4c125b&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/262889631.jpg?k=37fde3fcb42b7fbc78d3c5b80020c2c376d3819ca645a328ee0808aa45563fe5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/19165332.jpg?k=9f7341c9d94b8129c1e7cbc50966f74931008cc9ed4f1a5df0552a5fddcd53df&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/19165349.jpg?k=8e3c38fb6828d671d8313b9efa495f5b31b050d2808ce64c5efb44aa34f73a1e&o=&hp=1']"
marina-bay-sands,Marina Bay Sands,5,"10 Bayfront Avenue, Marina Bay, 018956 Singapore, Singapore",9.5,9.4,9.2,9.4,7.8,9.3,"{'Deluxe Twin Garden View Room': ['S$\xa0858', 'S$\xa0976'], 'Deluxe Twin City View Room ': ['S$\xa0940', 'S$\xa01,058']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/296667969.jpg?k=ae83d0d5d2df55513c705ced3d0105cc8388eb35fb82bafba18503b54cc59ddd&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/296669025.jpg?k=18b88269583b338a3884abc085d93b6bd57e45847e5efd4dad78a54862703f1a&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/297464410.jpg?k=eb2f88016ba2e1e09304a623dd4b9446a8fc1d90ea9c65370b4ecbb384e1dcf5&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/296671191.jpg?k=df27fd8b015e2bef76bdc7dadb74bcd8296196461ba667035f8eceb0578d622c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/296675445.jpg?k=42f447a43e2bfb1484e5eeccc987e88c1bb272b6569e54f723e7b7a9cbc48c23&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/296675455.jpg?k=40c494a03e2fc537305735a7f55d143f04029781f6cf356c1752c3f7e03d4227&o=&hp=1']"
