hotel_id,hotel_name
dusit-thani-laguna-singapore,Dusit Thani Laguna Singapore
the-barracks-by-far-east-hospitality,The Barracks Hotel Sentosa by Far East Hospitality
amara-sanctuary-resort-sentosa,Amara Sanctuary Resort Sentosa
one15-marina-club-singapore,ONE15 Marina Sentosa Cove Singapore
hotel-mandarin-oriental,"Mandarin Oriental, Singapore"
q-loft-hotels-bedok-singapore,Q Loft Hotels at Bedok
one-farrer-amp-spa,One Farrer Hotel
holiday-inn-express-singapore-katong,"Holiday Inn Express Singapore Katong, an IHG Hotel"
sheraton-towers-singapore,Sheraton Towers Singapore Hotel
bluewaters-pods-38-hongkong-st,Bluewaters Pods 38 Hongkong St
fort-canning,Hotel Fort Canning
link-singapore,Link Hotel Singapore
bluewaters-pods-bugis,Bluewaters Pods @ Bugis
sapphire,Ibis Budget Singapore Sapphire
ramada-singapore-at-zhongshan-park,Ramada by Wyndham Singapore at Zhongshan Park
maxwell-reserve,"Maxwell Reserve Singapore, Autograph Collection"
park-view,Park View Hotel
broadway,L Hotel at Broadway
the-fullerton-bay-singapore,The Fullerton Bay Hotel Singapore
paradox-singapore-merchant-court-at-clarke-quay-singapore,Paradox Singapore Merchant Court at Clarke Quay
d-39-resort-downtown-east,D'Resort @ Downtown East
river-city-inn,River City Inn
oasia-resort-sentosa-singapore,Oasia Resort Sentosa by Far East Hospitality
rucksack-inn-temple-st-singapore,Rucksack Inn @ Temple St
lloyd-39-s-inn,Lloyd's Inn
atlantis-pods-little-india,Atlantis Pods @ Little India
citadines-rochor,Citadines Rochor
chancellor-orchard,Hotel Chancellor@Orchard
ascott-orchard-singapore,Ascott Orchard Singapore
serviceworld-hostel,Century Service World
istay-inn-singapore,iStay.inn Singapore
kesa-house-singapore,"KēSa House, The Unlimited Collection by Oakwood"
allson-singapore,Hotel Grand Pacific
beary-best-by-a-beary-good-hostel,Beary Best! Chinatown by a beary good hostel
lulu,CUBE Boutique Capsule Hotel at Chinatown
dragon-court,Hotel Mono
tavern,Hotel Conforto
shangri-la-singapore,Shangri-La Singapore
the-quay-lavender,The Quay Hotel Lavender
am,AM Hotel
met-a-space-pod-arab-street,MET A Space Pod at Arab Street
wanderlust,"Wanderlust, The Unlimited Collection by Oakwood"
populous-singapore,Lion Peak Hotel Raffles
duxton-reserve,"Duxton Reserve Singapore, Autograph Collection"
pine-hostel,Rucksack Inn at Tyrwhitt
aqueen-paya-lebar,Aqueen Hotel Paya Lebar
kawan-hostel,Snooze Inn @Dunlop Street
fragrance-oasis,Fragrance Hotel - Oasis
jayleen-1918,Jayleen 1918
the-metropolitan-y,Metropolitan YMCA Singapore
bayview,30 Bencoolen
furama-riverfront,Furama RiverFront
vagabond,The Vagabond Club A Tribute Portfolio Hotel Singapore
destination-singapore-beach-road,Hotel Traveltine
wangz,D'Hotel Singapore
amazing-inn,The Amazing Inn
raffles,Raffles Singapore
parkroyal-on-kitchener-road,"PARKROYAL on Kitchener Road, Singapore"
fragrance-royal,Ibis Budget Singapore Mount Faber
k-space-inn-14,K Space Inn 14
snooze-inn-dickson-road,Snooze Inn @Dickson Road
marrison,Lion Peak Hotel Bugis
fragrance-rose,Fragrance Hotel - Rose
tai-hoe,Tai Hoe Hotel
uptown-hostel-singapore,Vintage Inn at Clarke Quay
mercury-boutique,Butternut Tree Hotel
k-aliwal-premier,K Hotel Aliwal (Premier)
k-space-inn-569,K Space Inn 569
orchid,Orchid Hotel
orchard-singapore,Orchard Hotel Singapore
fragrance-balestier,Fragrance Hotel - Balestier
the-sentosa-resort,Sofitel Singapore Sentosa Resort & Spa
emerald,Ibis Budget Singapore Emerald
aliwal-park,Aliwal Park Hotel
j8,J8 Hotel
yan,Hotel Yan
fragrance-ocean-view,Fragrance Hotel - Ocean View
concorde-singapore,Concorde Hotel Singapore
changi-cove,Changi Cove
duke,Hotel Duke
reddoorz-near-marine-parade-central,The Snooze Hotel Marine Parade
ruby,Ibis Budget Singapore Ruby
capella-singapore,Capella Singapore
k-space-inn-owen,K Space Inn Owen
sunflower,Ibis Budget Singapore Ametrine
nostalgia,Nostalgia Hotel
relc-international,RELC International Hotel
k-14,K Hotel 14
jayleen-clarke-quay,Jayleen Clarke Quay Hotel
fragrance-viva,Fragrance Hotel - Viva
the-capitol-kempinski-singapore-singapore123,The Capitol Kempinski Hotel Singapore
sleepy-kiwi,CUBE Boutique Capsule Hotel at Kampong Glam
m-social-singapore,M Social Singapore
nuve-stellar,Hotel NuVe Stellar
golden-royal,L Hotel at 51 Desker
bencoolen-hong-kong-street,"Hotel Bencoolen @ Hong Kong Street (SG Clean, Staycation Approved)"
fragrance-classic,Fragrance Hotel - Classic
regin-singapore3,Hi Hotel Dot
fragrance-lavender,Fragrance Hotel - Lavender
santa-grand-west-coast,The Quay Hotel West Coast
coller-boutique-hostel-singapore2,Coller Boutique Hostel
bencoolen-singapore-singapore,Hotel Bencoolen Singapore
park-22-little-india,Check-Inn at Little India
st-signature-tanjong-pagar-singapore1,ST Signature Tanjong Pagar
new-cape-inn-pte-ltd,New Cape Inn
fragrance-kovan,Fragrance Hotel - Kovan
five-47-6-splendour,five6 Hotel Splendour
villa-samadhi-singapore-by-samadhi,Villa Samadhi Singapore by Samadhi
k-8,K Hotel 8
k-1515,K Hotel 1515
st-signature-chinatown,ST Signature Chinatown
xy-global-bugis,Hi Hotel
yes-chinatown-pt,CUBE Family Boutique Capsule Hotel at Chinatown
spacious-suite-room,SPACIOUS SUITE-ROOM
calmo-bugis,Hotel Calmo Bugis
marrison-desker,Philip Hotel
santa-grand-east-coast,Santa Grand Hotel East Coast
madras-eminence,The Noble Hotel
k2-guest-house,K2 Guesthouse
crystal,Ibis Budget Singapore Crystal
2-st-signature-bugis-beach-12-hours-9pm-9am,"ST Signature Bugis Beach, SHORT OVERNIGHT, 12 Hours, check in 7PM or 9PM"
85-beach-road,ST Signature Bugis Beach
