,hotel_id,hotel_name,hotel_stars,address,cat_location,cat_cleaniness,cat_staff,cat_comfort,cat_value_for_money,cat_facilities,room_types,image_links,roomtypes_clean,25percentile,50percentile,75percentile
23,royal-queens,Hotel Royal at Queens,4,"12, Queen Street, Victoria, 188553 Singapore, Singapore",7.6,8.2,7.9,7.9,8.6,7.8,"{'Executive Double or Twin Room': ['S$\xa0246', 'S$\xa0255', 'S$\xa0351', 'S$\xa0370'], 'Staycation Offer - Executive Room': ['S$\xa0444', 'S$\xa0455']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/375800959.jpg?k=ee242dde691a98f1e5110c1eef8a571d7858d9e7db7e6ff9a51a5139db70c251&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/375800926.jpg?k=a94175748620e3d27c82b9b29ad78d620e54d43c6b8044ad726e6050e0897677&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/322541189.jpg?k=d09d015ea8d32e6d9e6f302de2764acc966ae89c8812962e87575d9eee8c47cd&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/20048768.jpg?k=af117bb500337b783023ff2548d2310d3552831a7e812feb86f2348c5bbfa1c8&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/227685233.jpg?k=eafc6b21c60cf71c818b0006476552745bbb617f6e98887bf52ae678718df2ba&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/20051678.jpg?k=d137e01ebc81d71a65fc8b121299326863fa215cca1e9175c1e4314f1ea0f924&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/27638642.jpg?k=c3091f3a2a82149d2b965155a3c7bfa675a8cfa320d3bfcb64e24337ae4b5914&o=&hp=1']","{'Executive Double or Twin Room': ['246', '255', '351', '370'], 'Staycation Offer - Executive Room': ['444', '455']}",279.0,360.5,425.5
24,four-points-by-sheraton-singapore-riverview,"Four Points by Sheraton Singapore, Riverview",4,"382 Havelock Road, Robertson Quay, 169629 Singapore, Singapore",8.3,8.6,8.8,8.8,8.5,8.1,"{'Deluxe King Room with City View': ['S$\xa0299', 'S$\xa0333', 'S$\xa0364', 'S$\xa0404'], 'Deluxe Twin Room with City View': ['S$\xa0299', 'S$\xa0333', 'S$\xa0364', 'S$\xa0380', 'S$\xa0404'], 'Premium King Room with River View': ['S$\xa0331', 'S$\xa0368', 'S$\xa0396', 'S$\xa0440'], 'Premium Twin Room with River View': ['S$\xa0331', 'S$\xa0368', 'S$\xa0396', 'S$\xa0416', 'S$\xa0440'], '1 Bedroom Suite, 1 King, City view': ['S$\xa0428', 'S$\xa0475', 'S$\xa0499', 'S$\xa0499', 'S$\xa0570'], 'Executive Suite Room ': ['S$\xa0475', 'S$\xa0475', 'S$\xa0499', 'S$\xa0546', 'S$\xa0570']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/236651742.jpg?k=e7110071e435936b2afde51ea5b569a45af39ca9a264400ab751a15868ee5bde&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/66947541.jpg?k=da0b8d9557668c98c05cc8b520803e3f6c85aca0d6a0970eaa663aa936744400&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/73421077.jpg?k=5c75e79668b66c88c3bf7f3ed2a7a4c04ed62e23cd53ead29674ff244ddd1ed5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/306987017.jpg?k=30eb8075ff01f5756dce85d220abd7c035ec28815871fac01d6e02da7b9d693f&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/81155863.jpg?k=1236c1d42acb70bd777df1ad82bffbff8631bf4447c9ace870b6966750bfe118&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/73421114.jpg?k=9135e11c77d6cd02155e48c4718f2cd4e8ece2f76267d5ed9b008d6a7646b9b9&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/253908138.jpg?k=0bc59baf7097523e3e104d1c5038388b47d2554e6f61ea1af8e17afc29dda049&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/386004149.jpg?k=37a0138ebc267f39e6e24f5a560ee48237583df1a8873b9ae0af9e927a1cc8c4&o=&hp=1']","{'Deluxe King Room with City View': ['299', '333', '364', '404'], 'Deluxe Twin Room with City View': ['299', '333', '364', '380', '404'], 'Premium King Room with River View': ['331', '368', '396', '440'], 'Premium Twin Room with River View': ['331', '368', '396', '416', '440'], '1 Bedroom Suite, 1 King, City view': ['428', '475', '499', '499', '570'], 'Executive Suite Room ': ['475', '475', '499', '546', '570']}",364.0,404.0,475.0
25,the-east-village,Village Hotel Katong by Far East Hospitality,4,"25 Marine Parade, Katong, 449536 Singapore, Singapore",8.5,9.0,8.8,8.9,8.5,8.4,"{'Superior Double or Twin Room': ['S$\xa0217', 'S$\xa0233', 'S$\xa0265'], 'Deluxe Double or Twin Room': ['S$\xa0236', 'S$\xa0254', 'S$\xa0288'], 'Peranakan Club': ['S$\xa0304', 'S$\xa0326', 'S$\xa0338', 'S$\xa0363', 'S$\xa0371'], 'Family Room': ['S$\xa0314', 'S$\xa0337', 'S$\xa0383']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/25564483.jpg?k=953de4e9840d0bc1dbc0992f7e3108edb5e2ff06681dd7ed5aecae64d7b66136&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/284717730.jpg?k=03e0589a326dc86a272f1986236eae59f03e8a678e1c92a9d3afa0c0f41bb99b&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/284721359.jpg?k=15074b49b2973357171e2e9add1bdda9c011581bd2563fe632017cb6fea4ce76&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/345742632.jpg?k=d79e6ba1d3cd545c125607ff81c4c15f93590768f91e4979f5f950b1a09f3170&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284716563.jpg?k=d51935da4484b136ac05faff1225934f5c690bf1f3be85c87ee207ea1eabac8e&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284721365.jpg?k=9041f769c03e88115370f883f19d33e58860baa00849aa960e32ec576cb3775c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284718493.jpg?k=fc0a849a3a664b7c76e18211bd7d4a546cb3602a0df2fbadcdebdbd3b0aa76f6&o=&hp=1']","{'Superior Double or Twin Room': ['217', '233', '265'], 'Deluxe Double or Twin Room': ['236', '254', '288'], 'Peranakan Club': ['304', '326', '338', '363', '371'], 'Family Room': ['314', '337', '383']}",256.75,309.0,337.75
26,intercontinental-singapore-robertson-quay-singapore,"InterContinental Singapore Robertson Quay, an IHG Hotel",5,"1 Nanson Road, Robertson Quay, 238909 Singapore, Singapore",8.8,9.0,9.0,9.0,7.8,8.4,"{'1 King Bed Classic Accessible': ['S$\xa0450', 'S$\xa0474', 'S$\xa0498', 'S$\xa0522', 'S$\xa0617'], '                                      1 King Bed Classic': ['S$\xa0450', 'S$\xa0474', 'S$\xa0498', 'S$\xa0522', 'S$\xa0617'], '2 Twin Bed Classic': ['S$\xa0462', 'S$\xa0486', 'S$\xa0509', 'S$\xa0533', 'S$\xa0628'], '1 King Bed Classic River View': ['S$\xa0495', 'S$\xa0522', 'S$\xa0543', 'S$\xa0569', 'S$\xa0664'], '1 King Bed Classic Top Floor': ['S$\xa0586', 'S$\xa0617', 'S$\xa0664', 'S$\xa0759'], '1 King Classic Riverview': ['S$\xa0608', 'S$\xa0640', 'S$\xa0688', 'S$\xa0783'], '2 Twin Bed Classic Lounge Access': ['S$\xa0622'], 'Classic King Room with River View': ['S$\xa0631', 'S$\xa0664', 'S$\xa0678', 'S$\xa0712', 'S$\xa0807'], '1 King Bed Classic Lounge Access': ['S$\xa0665', 'S$\xa0700', 'S$\xa0712', 'S$\xa0747', 'S$\xa0842']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/309546979.jpg?k=e58178627978c997259931f7af69b85c53b9cee7efbdee715dd818f9c69316f9&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/230123783.jpg?k=8ffbbc9c884d6b8e0f95f5237057a3c5773b318dc3fdb493a30b9b47a91e4730&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/253250126.jpg?k=faeaf63bc0b74c5dabcdec9e5659a8798186d41153ce4cf0161d08ceb651d6a8&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/275817884.jpg?k=f6f6d31a5b61e45d51ddbc4fa498683ae10b5132832db079c6d67b1f4fc9df37&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/230392654.jpg?k=6a8e7fbbac44288b7731f045f9ccedfe41dbd59bc58786f66c0b094b9c7045b5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/309546975.jpg?k=d7d05babbb3f7e0fb175102495e589bad32a4885eb1ff481548bfe4b5b119c91&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/275817878.jpg?k=8d3715abc7221e46fc972f441849ba8905ea5af2f06efd41e25be18fe518e250&o=&hp=1']","{'1 King Bed Classic Accessible': ['450', '474', '498', '522', '617'], '                                      1 King Bed Classic': ['450', '474', '498', '522', '617'], '2 Twin Bed Classic': ['462', '486', '509', '533', '628'], '1 King Bed Classic River View': ['495', '522', '543', '569', '664'], '1 King Bed Classic Top Floor': ['586', '617', '664', '759'], '1 King Classic Riverview': ['608', '640', '688', '783'], '2 Twin Bed Classic Lounge Access': ['622'], 'Classic King Room with River View': ['631', '664', '678', '712', '807'], '1 King Bed Classic Lounge Access': ['665', '700', '712', '747', '842']}",515.5,617.0,671.5
27,changi-village-a-far-east,Village Hotel Changi by Far East Hospitality,4,"1 Netheravon Road, Changi, 508502 Singapore, Singapore",8.0,8.0,8.1,8.0,7.7,7.7,"{'Superior Double or Twin Room': ['S$\xa0169', 'S$\xa0181', 'S$\xa0206'], 'Deluxe Double or Twin Room': ['S$\xa0188', 'S$\xa0202', 'S$\xa0230'], 'Junior Suite': ['S$\xa0294', 'S$\xa0316', 'S$\xa0359'], 'Connecting Room': ['S$\xa0320', 'S$\xa0370']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/284732036.jpg?k=22129775eb3e137ae15aadcfb390ed638a0e398bd5d51cf6a75cf2c488fc1f0c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/284731509.jpg?k=5bfd4065b1d22e618e18ab3c134faf474f827a400ae82a11adfe85d89c2ad3ab&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/311676236.jpg?k=919d46db59afbbc0d0994e416b14ef5a91d81d894242b638edb418a086e20f6c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284730154.jpg?k=c59a9ff599830e152eaeec59ce4021ce378df2d464388b3608ef82d57596d71f&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284732117.jpg?k=de4a4acb22436dc093fd9591bb0fca9d9260f44c6f01b72f2e03aee73f2d07e3&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/284725919.jpg?k=191ae548751e00c882947953c00fc2d6a0d8c594ef50d4b75968f2f817e4082a&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/127267722.jpg?k=bd20dba7fa8452fa5b2241f81454a62f3d8e4a23391c312ed0dd8d41f820d455&o=&hp=1']","{'Superior Double or Twin Room': ['169', '181', '206'], 'Deluxe Double or Twin Room': ['188', '202', '230'], 'Junior Suite': ['294', '316', '359'], 'Connecting Room': ['320', '370']}",195.0,230.0,318.0
28,wink-hostel,Wink Capsule Hostel at Chinatown,2,"8A Mosque Street, Chinatown, 059488 Singapore, Singapore",8.2,9.1,8.4,8.2,9.4,8.4,"{'Single Pod in Male Shared Room': ['S$\xa055'], 'Single Pod in Female Shared Room': ['S$\xa055'], 'Queen Pod in Mixed Shared Room': ['S$\xa094', 'S$\xa0105'], 'Private Room with 1 Queen Bed': ['S$\xa0118', 'S$\xa0131'], 'Deluxe Private Room with 1 Queen Bed ': ['S$\xa0128', 'S$\xa0142'], 'Private Room with 2 Queen Beds': ['S$\xa0197', 'S$\xa0219'], 'Private Room with Four Single Beds': ['S$\xa0236', 'S$\xa0263'], 'Private Room with 1 King Bed and 1 Single Bed': ['S$\xa0236', 'S$\xa0263'], 'Private Room with 6 Single Pods': ['S$\xa0281', 'S$\xa0312'], 'Private Room with 7 Single Pods': ['S$\xa0328', 'S$\xa0365'], 'Private Room with 8 Single Pods': ['S$\xa0374', 'S$\xa0416'], 'Private Room with 10 Single Pods': ['S$\xa0468', 'S$\xa0520']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/268295534.jpg?k=1d39186cfcaaa5dcc2d09b888dadc9b65de47b7d54847cea74b285cab4d1fda8&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/350087586.jpg?k=5256a2e0cebd64df28a62c69d1462f7cd403b9bfc843928d7e8ee3337a7391a5&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/350087560.jpg?k=46541d338485c747004191a0d36b9e734133ed11b8cfdeb44e70a7166e2a295e&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/350087403.jpg?k=8d5e82ee1276eb7bcb2027a4addadb10543a188d3c3da9919863e35f327f5195&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/218252137.jpg?k=eebf45a99e0fe94521eea4cfd8416fa001577d82f1c767211c50e0b5230b73e8&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/218251943.jpg?k=3d34a865e115b3efa60314a9e4ee53b990d26b4024252868b2f25781d577ffe9&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/217141470.jpg?k=a3363c96743775719b280b48becd00eff0eb7a149d2d1bb036e2055fd942a5ba&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/200069259.jpg?k=2dc286e184b332c64fa04a1160023f122581edc3868adf41625539a106e6bd1f&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/350087614.jpg?k=32fcb1e28310783178411c0f2d623e37c23e8c55b84fc8274d61c5cec5132fe8&o=&hp=1']","{'Single Pod in Male Shared Room': ['55'], 'Single Pod in Female Shared Room': ['55'], 'Queen Pod in Mixed Shared Room': ['94', '105'], 'Private Room with 1 Queen Bed': ['118', '131'], 'Deluxe Private Room with 1 Queen Bed ': ['128', '142'], 'Private Room with 2 Queen Beds': ['197', '219'], 'Private Room with Four Single Beds': ['236', '263'], 'Private Room with 1 King Bed and 1 Single Bed': ['236', '263'], 'Private Room with 6 Single Pods': ['281', '312'], 'Private Room with 7 Single Pods': ['328', '365'], 'Private Room with 8 Single Pods': ['374', '416'], 'Private Room with 10 Single Pods': ['468', '520']}",128.75,236.0,324.0
29,parc-sovereign,ibis Styles Singapore Albert,4,"175 Albert Street, Bencoolen, 189970 Singapore, Singapore",7.2,8.1,8.0,7.4,8.5,6.8,"{'Standard Twin Room': ['S$\xa0186', 'S$\xa0190', 'S$\xa0220', 'S$\xa0203', 'S$\xa0207', 'S$\xa0233'], 'Standard Double Room': ['S$\xa0190', 'S$\xa0220', 'S$\xa0186', 'S$\xa0203', 'S$\xa0207', 'S$\xa0233'], 'Superior Double Room': ['S$\xa0200', 'S$\xa0232', 'S$\xa0197', 'S$\xa0213', 'S$\xa0219', 'S$\xa0245'], 'Standard Double Room with Balcony': ['S$\xa0200', 'S$\xa0232', 'S$\xa0197', 'S$\xa0213', 'S$\xa0219', 'S$\xa0245'], 'Superior Twin Room': ['S$\xa0200', 'S$\xa0232', 'S$\xa0197', 'S$\xa0213', 'S$\xa0219', 'S$\xa0245'], 'Superior Triple Room with One Double Bed and One Single Bed': ['S$\xa0250', 'S$\xa0291', 'S$\xa0263', 'S$\xa0304', 'S$\xa0250', 'S$\xa0276', 'S$\xa0278', 'S$\xa0317']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/385126277.jpg?k=ef06c5ee150caedfa3dfa43367626c55c9f4f3ed46b7bca863800708e534a327&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/383164383.jpg?k=4f3674c3be65542abde0fa6f8b416e69982ba7cf97fb83ace6174014583469d3&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/390744687.jpg?k=69cdbef69d815c509bd9f0ba5a996178c706e29879ec1e73dfa59412f1771222&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/385066331.jpg?k=fdaaf6fdd7077f9dceb93e4083f5914773f9a1322a33f1c59790b665fc99a5a7&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/364707603.jpg?k=efae88df37ecec81e1d11d78f52838c11be27f770c96c829c80e9cae79f8181d&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/383164372.jpg?k=1aec2d439404e949b1bb4b9f064d876a18edf18d4c1702c73290cbd3571df1fb&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/383164367.jpg?k=5e0adcfa2d8a84b42ebecde6b87ca7f6ed6e024f617138a0079e96dee6fa53b4&o=&hp=1']","{'Standard Twin Room': ['186', '190', '220', '203', '207', '233'], 'Standard Double Room': ['190', '220', '186', '203', '207', '233'], 'Superior Double Room': ['200', '232', '197', '213', '219', '245'], 'Standard Double Room with Balcony': ['200', '232', '197', '213', '219', '245'], 'Superior Twin Room': ['200', '232', '197', '213', '219', '245'], 'Superior Triple Room with One Double Bed and One Single Bed': ['250', '291', '263', '304', '250', '276', '278', '317']}",200.75,219.0,245.0
30,holiday-inn-singapore-little-india,"Holiday Inn Singapore Little India, an IHG Hotel",4,"10 Farrer Park Station Road, Farrer Park, 217564 Singapore, Singapore",8.6,9.0,8.5,8.4,8.2,7.9,"{'Standard Room with Queen Bed - Non-Smoking': ['S$\xa0291', 'S$\xa0307', 'S$\xa0333', 'S$\xa0348', 'S$\xa0419'], 'Standard Room': ['S$\xa0291', 'S$\xa0307', 'S$\xa0333', 'S$\xa0348', 'S$\xa0419'], 'Standard Twin Room - Non-Smoking': ['S$\xa0291', 'S$\xa0333', 'S$\xa0348', 'S$\xa0419'], 'Queen Room - Accessible/Non-Smoking': ['S$\xa0291', 'S$\xa0307', 'S$\xa0333', 'S$\xa0348', 'S$\xa0419'], '1 Queen Bed City View - Non-Smoking': ['S$\xa0302', 'S$\xa0318', 'S$\xa0344', 'S$\xa0360', 'S$\xa0431'], '1 Queen Bed High Floor - Smoking': ['S$\xa0302', 'S$\xa0318', 'S$\xa0344', 'S$\xa0360', 'S$\xa0431'], '2 Twin Beds City View - Non-Smoking': ['S$\xa0308', 'S$\xa0324', 'S$\xa0350', 'S$\xa0366', 'S$\xa0437'], '2 Twin Beds High Floor - Smoking': ['S$\xa0314', 'S$\xa0355', 'S$\xa0372', 'S$\xa0443'], '1 Queen Standard Top Floor Loft - Non-Smoking': ['S$\xa0370', 'S$\xa0390', 'S$\xa0412', 'S$\xa0431', 'S$\xa0503'], '1 Queen Bed Premium Loft - Non-Smoking': ['S$\xa0404', 'S$\xa0425', 'S$\xa0446', 'S$\xa0467', 'S$\xa0538']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/345921594.jpg?k=69d499d8cd5ae0716d18996ebec30d3a27a1e93ac9d8dafcc5b75dda4ba34383&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/345145676.jpg?k=9784e739061318642891bb311f000abd1b4351c9a714ae5345403d0cfe0607bc&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/345142716.jpg?k=f55767310575a204246d6fe32d6055bec699a6ddc498584ebfad184fbb5ec204&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/345922297.jpg?k=64a65b7dcd6f8f1624b4e54d19b7cfd60d6cfc8756b2572f7d67ca8179777151&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/97751079.jpg?k=271d5ca39ca50abbfbed1ff2a742e46f7ea71727ff1ce3cc7b4440fa04add25d&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/204385648.jpg?k=7c30415635200ec2fe7621bf0fe39232f87021abf77253f8e242ca91c8553be2&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/97753306.jpg?k=45095654e7c4bfa92575907b9117941fb7b680808234c447b61a831ac885be05&o=&hp=1']","{'Standard Room with Queen Bed - Non-Smoking': ['291', '307', '333', '348', '419'], 'Standard Room': ['291', '307', '333', '348', '419'], 'Standard Twin Room - Non-Smoking': ['291', '333', '348', '419'], 'Queen Room - Accessible/Non-Smoking': ['291', '307', '333', '348', '419'], '1 Queen Bed City View - Non-Smoking': ['302', '318', '344', '360', '431'], '1 Queen Bed High Floor - Smoking': ['302', '318', '344', '360', '431'], '2 Twin Beds City View - Non-Smoking': ['308', '324', '350', '366', '437'], '2 Twin Beds High Floor - Smoking': ['314', '355', '372', '443'], '1 Queen Standard Top Floor Loft - Non-Smoking': ['370', '390', '412', '431', '503'], '1 Queen Bed Premium Loft - Non-Smoking': ['404', '425', '446', '467', '538']}",318.0,349.0,419.0
31,fragrance-riverside,Ibis Budget Singapore Clarke Quay,3,"20 Hong Kong Street, Boat Quay, 059663 Singapore, Singapore",6.9,8.6,7.5,7.3,9.0,7.1,"{'Standard Double Room (No Window)': ['S$\xa0163', 'S$\xa0176', 'S$\xa0189', 'S$\xa0190', 'S$\xa0203', 'S$\xa0216'], 'Standard Twin Room (No Window)': ['S$\xa0163', 'S$\xa0176', 'S$\xa0189', 'S$\xa0190', 'S$\xa0203', 'S$\xa0216'], 'Superior Double Room': ['S$\xa0168', 'S$\xa0181', 'S$\xa0194', 'S$\xa0196', 'S$\xa0209', 'S$\xa0222'], 'Superior Twin Room': ['S$\xa0168', 'S$\xa0181', 'S$\xa0194', 'S$\xa0196', 'S$\xa0209', 'S$\xa0222'], 'Superior Triple Room': ['S$\xa0229', 'S$\xa0242', 'S$\xa0255', 'S$\xa0267', 'S$\xa0268', 'S$\xa0280', 'S$\xa0293', 'S$\xa0307']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/387332777.jpg?k=45db936baf5d5162b68430ff6de31bcb754a318e6ed965134af821f1a5b07d7c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/387332779.jpg?k=b458a75e0b13ffe32a87a0804823e8c9df6fb84c1f4c7a817e0fd8434f33e640&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/387332788.jpg?k=295188814759df7c7517731d617252311f1ef9e323e01f120cd2e3d2c3e5988b&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/246412353.jpg?k=fe65b835ef7852266b359973bff056c62c31e89b34eaf66ab73beeabcc1cf779&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/387332780.jpg?k=ad5d1d2645916f032e832c1a0443aefb35ab915715a19ca87f1803fe4a7eb58c&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/387332797.jpg?k=1eb8d1cbe4e159262bbfa6809617b1f8864a62fdee3b6e468bafd149e27a0d14&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/387332786.jpg?k=ab710a38fb416bbf5f0a7553ae8d81181c6a7aa7a768089acf08a03d7b9311da&o=&hp=1']","{'Standard Double Room (No Window)': ['163', '176', '189', '190', '203', '216'], 'Standard Twin Room (No Window)': ['163', '176', '189', '190', '203', '216'], 'Superior Double Room': ['168', '181', '194', '196', '209', '222'], 'Superior Twin Room': ['168', '181', '194', '196', '209', '222'], 'Superior Triple Room': ['229', '242', '255', '267', '268', '280', '293', '307']}",187.0,199.5,223.75
32,orchard-parade,Orchard Rendezvous Hotel by Far East Hospitality,4,"1 Tanglin Road, Orchard, 247905 Singapore, Singapore",8.5,9.0,8.7,8.5,7.9,8.2,"{'Superior Double or Twin Room': ['S$\xa0311', 'S$\xa0388'], 'Deluxe Double or Twin Room': ['S$\xa0330', 'S$\xa0412'], 'Deluxe Plus Room Double or Twin': ['S$\xa0358', 'S$\xa0386', 'S$\xa0447', 'S$\xa0483'], 'Club Double or Twin Room': ['S$\xa0386', 'S$\xa0414', 'S$\xa0483', 'S$\xa0518'], 'Family Room': ['S$\xa0499', 'S$\xa0624']}","['https://t-cf.bstatic.com/xdata/images/hotel/max1024x768/271690946.jpg?k=60484b51c12e878b46321e2e7d35cf35f61c4918db8a604d0ded3e5bfbb5321f&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/129710001.jpg?k=2c29ad42e98dab9270de1fd0690622b6f7bea755c5106c9b78a631e4236b4b84&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max500/87193106.jpg?k=5a2798907680c2438fff051ced31d5b936801115b98fd4c7f89dde4c6b2ac710&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/276073606.jpg?k=4c5972809f1371fe3deb8506a865d533b78f42451e40522a723099b9566f6c6f&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/128140307.jpg?k=b792ca88b5b977b96b0171260c78cc5f4737283789583983eff04ab0273f5b7c&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/87193107.jpg?k=e8732754bf8a2b9d789d5f96b9cc6cf8b451cc6705f274e5c7c50e08c6af71ef&o=&hp=1', 'https://t-cf.bstatic.com/xdata/images/hotel/max300/111574634.jpg?k=b6a143cce18c68670403da9e446221f0c011b6cc02ba790be660febedff42b48&o=&hp=1']","{'Superior Double or Twin Room': ['311', '388'], 'Deluxe Double or Twin Room': ['330', '412'], 'Deluxe Plus Room Double or Twin': ['358', '386', '447', '483'], 'Club Double or Twin Room': ['386', '414', '483', '518'], 'Family Room': ['499', '624']}",386.0,413.0,483.0
33,naumi,Naumi Hotel,5,"41 Seah Street, 188396 Singapore, Singapore",9.3,8.9,9.1,8.9,7.9,8.5,"{'Habitat': ['S$\xa0422', 'S$\xa0471'], 'Patio ': ['S$\xa0511', 'S$\xa0560'], 'Oasis': ['S$\xa0533', 'S$\xa0582']}","['https://cf.bstatic.com/xdata/images/hotel/max1024x768/94141080.jpg?k=07c4b08fd1066e93dc15bc80e5397c9c9c28bdb57b1dd1706ae5ed6dd4a23ce6&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/153708743.jpg?k=1cd0cf7a2f7715157d334d8fc98a6265757b76703b071834eb1a69a04204658d&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max500/55048297.jpg?k=7b2513aa8ed6c165a917f99ff933b1dfb90955de8c4a5b548a93c14662bc1607&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/55047993.jpg?k=2d016ecd6a9adb9457042d6c7dbc40264d6cc7f1ffaff2c6895f6fa40beb457d&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/153708082.jpg?k=349e66dae66613da5454dfe7d6122e686a1eeda1e91b270910ed568e4a4e8072&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/54932586.jpg?k=3997c087ffbcbc48344465f36e2df57a98c6abb17b2cb8096bd041c61e6da665&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/45414513.jpg?k=51d7100a4e763c8a9814bc63d109deea2c1974ec3ea3df98fb399da1d8731b28&o=&hp=1', 'https://cf.bstatic.com/xdata/images/hotel/max300/268508140.jpg?k=3239583477849f529abc77157164cb54d9a590ed2774fe7c31a0b0b7d28d38c4&o=&hp=1']","{'Habitat': ['422', '471'], 'Patio ': ['511', '560'], 'Oasis': ['533', '582']}",481.0,522.0,553.25
